#LECROYWR64MXi,50182,Histogram
#Segments,1,SegmentSize,500
#Segment,TrigTime,TimeSinceSegment1
#1,23-Nov-2012 12:40:28,0                 
#Time,Ampl
2.75e-006,0
2.751e-006,0
2.752e-006,0
2.753e-006,0
2.754e-006,0
2.755e-006,0
2.756e-006,0
2.757e-006,0
2.758e-006,0
2.759e-006,0
2.76e-006,0
2.761e-006,0
2.762e-006,0
2.763e-006,0
2.764e-006,0
2.765e-006,0
2.766e-006,0
2.767e-006,0
2.768e-006,0
2.769e-006,0
2.77e-006,0
2.771e-006,0
2.772e-006,0
2.773e-006,0
2.774e-006,0
2.775e-006,0
2.776e-006,0
2.777e-006,0
2.778e-006,0
2.779e-006,0
2.78e-006,0
2.781e-006,0
2.782e-006,0
2.783e-006,0
2.784e-006,0
2.785e-006,0
2.786e-006,0
2.787e-006,0
2.788e-006,0
2.789e-006,0
2.79e-006,0
2.791e-006,0
2.792e-006,0
2.793e-006,0
2.794e-006,0
2.795e-006,0
2.796e-006,0
2.797e-006,0
2.798e-006,0
2.799e-006,0
2.8e-006,0
2.801e-006,0
2.802e-006,0
2.803e-006,0
2.804e-006,0
2.805e-006,0
2.806e-006,0
2.807e-006,0
2.808e-006,0
2.809e-006,0
2.81e-006,0
2.811e-006,0
2.812e-006,0
2.813e-006,0
2.814e-006,0
2.815e-006,0
2.816e-006,0
2.817e-006,0
2.818e-006,0
2.819e-006,0
2.82e-006,0
2.821e-006,0
2.822e-006,0
2.823e-006,0
2.824e-006,0
2.825e-006,0
2.826e-006,0
2.827e-006,0
2.828e-006,0
2.829e-006,0
2.83e-006,0
2.831e-006,0
2.832e-006,0
2.833e-006,0
2.834e-006,0
2.835e-006,0
2.836e-006,0
2.837e-006,0
2.838e-006,0
2.839e-006,0
2.84e-006,0
2.841e-006,0
2.842e-006,0
2.843e-006,0
2.844e-006,0
2.845e-006,0
2.846e-006,0
2.847e-006,0
2.848e-006,0
2.849e-006,0
2.85e-006,0
2.851e-006,0
2.852e-006,0
2.853e-006,0
2.854e-006,0
2.855e-006,0
2.856e-006,0
2.857e-006,0
2.858e-006,0
2.859e-006,0
2.86e-006,0
2.861e-006,0
2.862e-006,0
2.863e-006,350
2.864e-006,871
2.865e-006,307
2.866e-006,0
2.867e-006,0
2.868e-006,0
2.869e-006,0
2.87e-006,0
2.871e-006,0
2.872e-006,0
2.873e-006,0
2.874e-006,0
2.875e-006,0
2.876e-006,0
2.877e-006,0
2.878e-006,0
2.879e-006,352
2.88e-006,881
2.881e-006,344
2.882e-006,0
2.883e-006,0
2.884e-006,0
2.885e-006,0
2.886e-006,0
2.887e-006,0
2.888e-006,0
2.889e-006,0
2.89e-006,0
2.891e-006,0
2.892e-006,0
2.893e-006,0
2.894e-006,0
2.895e-006,417
2.896e-006,846
2.897e-006,292
2.898e-006,0
2.899e-006,0
2.9e-006,0
2.901e-006,0
2.902e-006,0
2.903e-006,0
2.904e-006,0
2.905e-006,0
2.906e-006,0
2.907e-006,0
2.908e-006,0
2.909e-006,0
2.91e-006,0
2.911e-006,334
2.912e-006,836
2.913e-006,266
2.914e-006,0
2.915e-006,0
2.916e-006,0
2.917e-006,0
2.918e-006,0
2.919e-006,0
2.92e-006,0
2.921e-006,0
2.922e-006,0
2.923e-006,0
2.924e-006,0
2.925e-006,0
2.926e-006,0
2.927e-006,287
2.928e-006,669
2.929e-006,209
2.93e-006,0
2.931e-006,0
2.932e-006,0
2.933e-006,0
2.934e-006,0
2.935e-006,0
2.936e-006,0
2.937e-006,0
2.938e-006,0
2.939e-006,0
2.94e-006,0
2.941e-006,0
2.942e-006,1
2.943e-006,269
2.944e-006,633
2.945e-006,212
2.946e-006,0
2.947e-006,0
2.948e-006,0
2.949e-006,0
2.95e-006,0
2.951e-006,0
2.952e-006,0
2.953e-006,0
2.954e-006,0
2.955e-006,0
2.956e-006,0
2.957e-006,0
2.958e-006,0
2.959e-006,144
2.96e-006,301
2.961e-006,86
2.962e-006,0
2.963e-006,0
2.964e-006,0
2.965e-006,0
2.966e-006,0
2.967e-006,0
2.968e-006,0
2.969e-006,0
2.97e-006,0
2.971e-006,0
2.972e-006,0
2.973e-006,0
2.974e-006,0
2.975e-006,29
2.976e-006,75
2.977e-006,21
2.978e-006,0
2.979e-006,0
2.98e-006,0
2.981e-006,0
2.982e-006,0
2.983e-006,0
2.984e-006,0
2.985e-006,0
2.986e-006,0
2.987e-006,0
2.988e-006,0
2.989e-006,0
2.99e-006,0
2.991e-006,141
2.992e-006,316
2.993e-006,121
2.994e-006,0
2.995e-006,0
2.996e-006,0
2.997e-006,0
2.998e-006,0
2.999e-006,0
3e-006,0
3.001e-006,0
3.002e-006,0
3.003e-006,0
3.004e-006,0
3.005e-006,0
3.006e-006,0
3.007e-006,65
3.008e-006,125
3.009e-006,47
3.01e-006,0
3.011e-006,0
3.012e-006,0
3.013e-006,0
3.014e-006,0
3.015e-006,0
3.016e-006,0
3.017e-006,0
3.018e-006,0
3.019e-006,0
3.02e-006,0
3.021e-006,0
3.022e-006,0
3.023e-006,40
3.024e-006,67
3.025e-006,23
3.026e-006,0
3.027e-006,0
3.028e-006,0
3.029e-006,0
3.03e-006,0
3.031e-006,0
3.032e-006,0
3.033e-006,0
3.034e-006,0
3.035e-006,0
3.036e-006,0
3.037e-006,0
3.038e-006,0
3.039e-006,70
3.04e-006,155
3.041e-006,47
3.042e-006,0
3.043e-006,0
3.044e-006,0
3.045e-006,0
3.046e-006,0
3.047e-006,0
3.048e-006,0
3.049e-006,0
3.05e-006,0
3.051e-006,0
3.052e-006,0
3.053e-006,0
3.054e-006,0
3.055e-006,10
3.056e-006,20
3.057e-006,5
3.058e-006,0
3.059e-006,0
3.06e-006,0
3.061e-006,0
3.062e-006,0
3.063e-006,0
3.064e-006,0
3.065e-006,0
3.066e-006,0
3.067e-006,0
3.068e-006,0
3.069e-006,0
3.07e-006,0
3.071e-006,24
3.072e-006,61
3.073e-006,8
3.074e-006,0
3.075e-006,0
