#LECROYWR64MXi,50182,Histogram
#Segments,1,SegmentSize,500
#Segment,TrigTime,TimeSinceSegment1
#1,23-Nov-2012 14:05:56,0                 
#Time,Ampl
0.0001,0
0.0001004,0
0.0001008,0
0.0001012,0
0.0001016,0
0.000102,0
0.0001024,0
0.0001028,0
0.0001032,0
0.0001036,0
0.000104,0
0.0001044,0
0.0001048,0
0.0001052,0
0.0001056,0
0.000106,0
0.0001064,0
0.0001068,0
0.0001072,0
0.0001076,0
0.000108,0
0.0001084,0
0.0001088,0
0.0001092,0
0.0001096,0
0.00011,0
0.0001104,0
0.0001108,0
0.0001112,0
0.0001116,0
0.000112,0
0.0001124,0
0.0001128,0
0.0001132,0
0.0001136,0
0.000114,0
0.0001144,0
0.0001148,0
0.0001152,0
0.0001156,0
0.000116,0
0.0001164,0
0.0001168,0
0.0001172,0
0.0001176,0
0.000118,0
0.0001184,0
0.0001188,0
0.0001192,0
0.0001196,0
0.00012,0
0.0001204,0
0.0001208,0
0.0001212,0
0.0001216,0
0.000122,0
0.0001224,0
0.0001228,0
0.0001232,0
0.0001236,0
0.000124,0
0.0001244,0
0.0001248,0
0.0001252,0
0.0001256,0
0.000126,0
0.0001264,0
0.0001268,0
0.0001272,0
0.0001276,0
0.000128,0
0.0001284,0
0.0001288,0
0.0001292,0
0.0001296,0
0.00013,0
0.0001304,0
0.0001308,0
0.0001312,0
0.0001316,0
0.000132,0
0.0001324,0
0.0001328,0
0.0001332,0
0.0001336,0
0.000134,0
0.0001344,0
0.0001348,0
0.0001352,0
0.0001356,0
0.000136,0
0.0001364,0
0.0001368,0
0.0001372,0
0.0001376,0
0.000138,0
0.0001384,0
0.0001388,1
0.0001392,0
0.0001396,0
0.00014,0
0.0001404,0
0.0001408,0
0.0001412,1
0.0001416,0
0.000142,0
0.0001424,1
0.0001428,0
0.0001432,1
0.0001436,1
0.000144,1
0.0001444,2
0.0001448,2
0.0001452,1
0.0001456,4
0.000146,5
0.0001464,2
0.0001468,2
0.0001472,8
0.0001476,7
0.000148,3
0.0001484,8
0.0001488,6
0.0001492,10
0.0001496,13
0.00015,13
0.0001504,13
0.0001508,17
0.0001512,25
0.0001516,17
0.000152,38
0.0001524,24
0.0001528,31
0.0001532,38
0.0001536,41
0.000154,45
0.0001544,44
0.0001548,44
0.0001552,53
0.0001556,59
0.000156,62
0.0001564,86
0.0001568,86
0.0001572,83
0.0001576,97
0.000158,105
0.0001584,107
0.0001588,104
0.0001592,134
0.0001596,114
0.00016,147
0.0001604,139
0.0001608,113
0.0001612,132
0.0001616,156
0.000162,160
0.0001624,172
0.0001628,125
0.0001632,155
0.0001636,168
0.000164,147
0.0001644,156
0.0001648,172
0.0001652,145
0.0001656,135
0.000166,153
0.0001664,170
0.0001668,146
0.0001672,186
0.0001676,140
0.000168,148
0.0001684,150
0.0001688,162
0.0001692,161
0.0001696,155
0.00017,167
0.0001704,149
0.0001708,143
0.0001712,156
0.0001716,150
0.000172,142
0.0001724,142
0.0001728,127
0.0001732,126
0.0001736,129
0.000174,106
0.0001744,119
0.0001748,97
0.0001752,117
0.0001756,111
0.000176,97
0.0001764,89
0.0001768,84
0.0001772,94
0.0001776,60
0.000178,76
0.0001784,71
0.0001788,64
0.0001792,64
0.0001796,68
0.00018,60
0.0001804,67
0.0001808,67
0.0001812,49
0.0001816,47
0.000182,53
0.0001824,47
0.0001828,50
0.0001832,56
0.0001836,38
0.000184,69
0.0001844,51
0.0001848,33
0.0001852,56
0.0001856,41
0.000186,38
0.0001864,40
0.0001868,36
0.0001872,41
0.0001876,36
0.000188,26
0.0001884,44
0.0001888,41
0.0001892,31
0.0001896,28
0.00019,27
0.0001904,16
0.0001908,33
0.0001912,32
0.0001916,23
0.000192,22
0.0001924,19
0.0001928,21
0.0001932,18
0.0001936,19
0.000194,14
0.0001944,13
0.0001948,17
0.0001952,16
0.0001956,11
0.000196,6
0.0001964,8
0.0001968,6
0.0001972,9
0.0001976,12
0.000198,4
0.0001984,6
0.0001988,2
0.0001992,4
0.0001996,3
0.0002,7
0.0002004,6
0.0002008,6
0.0002012,8
0.0002016,3
0.000202,5
0.0002024,3
0.0002028,4
0.0002032,6
0.0002036,3
0.000204,3
0.0002044,1
0.0002048,2
0.0002052,3
0.0002056,2
0.000206,5
0.0002064,1
0.0002068,2
0.0002072,2
0.0002076,1
0.000208,4
0.0002084,3
0.0002088,1
0.0002092,1
0.0002096,2
0.00021,1
0.0002104,3
0.0002108,1
0.0002112,1
0.0002116,4
0.000212,1
0.0002124,0
0.0002128,0
0.0002132,2
0.0002136,0
0.000214,0
0.0002144,0
0.0002148,0
0.0002152,2
0.0002156,0
0.000216,1
0.0002164,0
0.0002168,1
0.0002172,0
0.0002176,0
0.000218,0
0.0002184,1
0.0002188,1
0.0002192,0
0.0002196,0
0.00022,0
0.0002204,2
0.0002208,1
0.0002212,0
0.0002216,1
0.000222,1
0.0002224,0
0.0002228,0
0.0002232,1
0.0002236,0
0.000224,1
0.0002244,1
0.0002248,0
0.0002252,0
0.0002256,1
0.000226,1
0.0002264,0
0.0002268,0
0.0002272,0
0.0002276,1
0.000228,0
0.0002284,0
0.0002288,0
0.0002292,0
0.0002296,0
0.00023,0
0.0002304,0
0.0002308,0
0.0002312,0
0.0002316,0
0.000232,0
0.0002324,1
0.0002328,0
0.0002332,0
0.0002336,0
0.000234,0
0.0002344,1
0.0002348,0
0.0002352,0
0.0002356,1
0.000236,0
0.0002364,0
0.0002368,0
0.0002372,0
0.0002376,0
0.000238,0
0.0002384,0
0.0002388,0
0.0002392,0
0.0002396,1
0.00024,0
0.0002404,0
0.0002408,0
0.0002412,0
0.0002416,0
0.000242,0
0.0002424,0
0.0002428,0
0.0002432,1
0.0002436,0
0.000244,0
0.0002444,0
0.0002448,0
0.0002452,0
0.0002456,0
0.000246,1
0.0002464,0
0.0002468,0
0.0002472,0
0.0002476,0
0.000248,0
